Age,Gender,Income (in $1000s),Online Hours Per Week,Purchase Frequency (Last Month),Is Loyal Customer,Preferred Shopping Platform,Ad Clicks (Last Month),Discounts Used (Last Month),Competitor Pricing Index,Economic Conditions,Distance to Nearest Store (km),Shopping Frequency,"Purchase Decision (1=Yes, 0=No)"
56,Female,91.97,49,7,0,Website,1,9,0.83,Neutral,43.09,1.685360277475087,1
69,Male,22.29,1,2,1,Website,9,3,1.13,Neutral,16.78,15.33714310702829,1
46,Female,50.59,3,7,0,Website,0,2,1.06,Favorable,9.8,17.530050063486325,1
32,Male,58.63,49,14,1,In-store,0,8,0.94,Neutral,2.78,28.540342099010914,1
60,Female,44.87,27,0,0,Mobile App,7,9,0.87,Unfavorable,49.22,1.0,1
25,Female,23.26,32,12,0,Mobile App,2,6,1.15,Neutral,18.28,18.40451312124543,1
38,Male,75.14,10,17,1,In-store,14,6,1.2,Favorable,11.42,27.702422161241042,1
56,Male,56.74,2,14,0,In-store,10,5,0.82,Neutral,24.84,18.568302127491584,1
36,Male,24.66,39,6,0,Mobile App,2,8,1.02,Neutral,14.94,15.093513701525854,1
40,Male,58.77,4,14,0,Mobile App,8,2,0.9,Favorable,12.03,19.41340158502005,1
28,Female,84.03,20,2,0,In-store,12,0,1.13,Favorable,31.01,4.4464699891944175,1
28,Female,49.27,21,13,1,In-store,5,6,0.94,Neutral,4.2,29.091232619477907,1
41,Male,49.96,36,19,1,Mobile App,3,8,1.09,Neutral,25.7,22.273864789666717,1
53,Male,81.36,10,3,0,Mobile App,3,5,1.02,Unfavorable,19.68,10.859326405304502,1
57,Male,30.59,43,3,0,Mobile App,6,9,1.02,Favorable,26.86,5.49300470523038,1
41,Female,84.55,21,2,0,Website,5,1,1.14,Favorable,16.36,14.687371914444622,1
20,Male,69.46,40,4,1,In-store,1,7,0.99,Favorable,28.73,15.072779600540287,1
39,Female,31.52,12,10,0,Mobile App,8,8,1.14,Favorable,4.55,21.87335304694942,1
19,Female,36.63,2,7,0,Website,1,9,0.95,Neutral,19.12,16.911875732004177,1
41,Female,39.5,12,1,1,Website,7,7,0.87,Unfavorable,12.26,18.360408580575104,1
61,Male,13.33,27,15,0,In-store,3,8,0.98,Neutral,22.19,18.490118584927,1
47,Female,55.21,10,9,0,Mobile App,9,0,1.0,Unfavorable,20.22,12.490542761541,1
55,Male,32.42,10,17,0,Website,0,2,0.99,Favorable,31.74,17.376853815946408,1
19,Male,55.93,20,6,0,Website,0,2,1.12,Favorable,31.62,3.6731010528433203,0
38,Female,24.18,20,4,0,Mobile App,8,8,1.03,Favorable,20.96,9.319451629219628,1
50,Female,68.46,6,6,1,Website,3,2,1.16,Neutral,9.49,27.65086538364215,1
29,Male,64.75,16,5,0,Mobile App,0,9,1.01,Favorable,29.3,4.426777712496786,1
39,Male,35.88,47,0,1,Mobile App,2,0,0.89,Neutral,48.34,1.0,1
61,Male,57.19,13,10,0,Mobile App,2,2,0.85,Favorable,9.68,19.103180379904337,1
42,Male,51.66,32,12,0,In-store,6,1,1.15,Favorable,3.92,24.10218422535082,1
66,Male,79.65,10,11,0,Website,5,8,0.82,Favorable,13.6,19.209729826822436,1
44,Male,29.35,12,0,0,Website,7,0,0.85,Favorable,20.94,9.052477144024538,1
59,Male,46.95,0,14,0,Website,6,1,0.83,Unfavorable,15.66,20.65132867391011,1
45,Female,37.19,33,0,1,Website,0,0,0.97,Unfavorable,41.82,6.913848678965161,1
33,Female,50.9,8,2,1,Website,2,8,1.01,Favorable,24.9,12.387994320835725,1
32,Female,60.67,12,14,0,Mobile App,8,6,0.81,Unfavorable,12.68,17.085085286000837,1
64,Male,36.96,36,8,0,Website,3,0,1.01,Neutral,47.53,1.0,1
68,Female,42.72,29,13,0,In-store,10,9,0.96,Neutral,6.69,23.754725643234742,1
61,Female,69.32,40,7,0,Website,11,5,1.11,Favorable,6.58,20.53410532458173,1
69,Female,77.15,44,3,0,Mobile App,10,4,1.13,Neutral,12.64,16.94403846506764,1
20,Female,59.87,36,19,1,In-store,12,9,1.07,Favorable,4.3,30.0,1
54,Female,47.24,46,19,0,Website,12,4,0.99,Favorable,37.71,11.06831045971312,1
68,Female,45.34,6,5,0,Mobile App,13,3,0.89,Favorable,15.98,13.696817568252197,1
24,Male,60.96,13,0,0,Mobile App,13,2,1.14,Neutral,36.63,1.0,1
