Property Size (sqft),Number of Bedrooms,Number of Bathrooms,Construction Year,Furnished,Median Household Income,Unemployment Rate,Population Density,Nearby School Quality Score,Distance to City Center (km),Distance to Nearest Park (km),Air Quality Index,Public Transport Access,Regional Price Growth (%),Historical Price Volatility,Selling Price (in $)
1360,1,3,1962,None,86.2,7.57,581,Average,39.84,9.71,61.0,Low,-3.05,4.81,494261.876537176
4272,4,1,1973,None,68.96,8.57,1831,Average,7.3,9.67,156.0,Low,13.39,2.24,846778.5712054344
3592,3,3,1989,None,90.29,3.4,8455,Poor,48.73,7.92,152.0,Medium,11.31,3.12,709567.9084352192
966,2,1,1963,Fully,75.21,7.22,856,Excellent,2.18,4.92,115.0,High,6.75,3.57,471644.6702802781
4926,1,1,2019,Fully,90.89,6.85,1079,Good,6.79,1.72,184.0,High,-2.39,5.77,898441.5972236651
3944,2,2,2011,Partially,90.4,3.23,1145,Good,16.25,0.54,174.0,High,11.25,9.21,823551.8142787459
3671,5,2,2010,Fully,93.54,5.32,6763,Average,25.95,2.39,106.0,Medium,8.81,4.47,858114.8790377559
3419,3,1,1950,None,76.02,8.82,8999,Good,11.59,3.47,95.0,Low,4.95,8.65,786777.1194141658
630,3,1,2015,None,80.74,9.77,733,Excellent,37.07,1.39,71.0,High,12.72,7.26,484717.35241143324
2185,1,1,1981,Partially,71.54,7.32,1534,Good,18.52,2.33,188.0,Medium,8.29,8.02,554219.7609842817
1269,3,1,1962,Fully,61.53,9.38,6517,Poor,2.89,0.93,197.0,Medium,0.77,7.86,324798.09436983615
2891,1,2,1982,Fully,105.05,3.06,5621,Average,44.01,5.28,54.0,High,-4.13,3.72,723533.8937495829
2933,1,3,1981,Partially,63.72,9.8,2235,Good,47.25,1.35,117.0,High,10.19,3.13,543262.3413444359
1684,2,1,2005,None,88.57,2.27,4777,Average,31.31,7.45,63.0,Medium,0.11,9.8,587610.1737246767
3885,3,2,1973,Partially,85.89,6.22,1441,Excellent,40.52,3.39,180.0,High,0.61,7.64,790900.3303421804
4617,1,1,1953,Fully,77.72,4.33,849,Good,6.93,6.75,163.0,Medium,3.99,4.29,865335.9637884627
3404,2,1,1972,Fully,72.68,8.51,1905,Average,14.17,8.84,76.0,High,10.0,5.99,1698188.7592967066
974,4,3,1978,None,72.82,3.74,7964,Good,16.94,0.95,53.0,Low,13.49,7.98,509521.524686101
1582,2,1,1970,Partially,65.14,2.09,2045,Excellent,48.08,9.89,177.0,Medium,-0.67,1.5,411740.57046538836
3058,2,1,1979,None,76.42,5.32,4820,Average,26.1,6.49,113.0,Medium,12.64,1.89,780939.0808012909
2547,1,3,1969,None,57.28,2.51,2246,Average,1.36,0.63,135.0,Medium,7.09,1.23,574191.5828624098
3247,5,3,1965,Partially,86.21,4.32,8396,Poor,19.63,3.21,129.0,High,12.11,2.48,773412.2501659889
1475,5,3,2016,Fully,71.57,7.15,1854,Excellent,1.38,8.87,68.0,Medium,11.96,2.07,579385.8323381526
2306,5,3,1998,Partially,,4.36,7830,,12.65,6.0,165.0,Medium,2.85,5.17,521273.3215362988
689,2,2,2007,Partially,55.85,3.97,4788,Good,23.28,2.94,143.0,Low,8.56,3.58,257961.43039738614
3234,1,2,1993,None,73.02,3.24,9860,Average,16.85,9.41,118.0,High,13.93,1.41,617547.2354183397
3505,3,2,1974,Fully,73.54,3.08,5266,Good,2.6,7.89,80.0,High,8.45,5.04,739800.950942191
2399,2,1,1972,Fully,67.23,6.21,6457,Good,6.7,7.38,144.0,High,4.16,6.21,727145.6031937297
1767,2,3,2008,Partially,82.54,7.45,7335,Excellent,27.99,8.9,198.0,High,2.44,4.33,481196.90410452656
2028,1,3,1950,Fully,80.23,5.62,3085,Average,35.08,7.72,159.0,Medium,-2.13,3.34,537634.5235559954
3702,4,2,1964,Partially,75.85,2.99,5207,Good,20.82,2.94,,High,14.98,4.51,774317.7128085396
4056,2,1,2001,Fully,61.11,7.18,1400,Excellent,36.84,5.88,90.0,Medium,8.16,5.68,683786.0192614009
4390,4,1,2007,Fully,63.9,6.46,3841,Good,9.0,8.44,114.0,Medium,0.53,4.92,877021.8705467377
1146,4,1,1990,Partially,54.05,5.05,8194,Good,6.98,1.89,125.0,High,-3.51,1.84,479404.9002665723
3388,5,2,1993,Partially,72.13,4.64,627,Excellent,42.13,1.71,173.0,High,10.08,5.11,677256.5930664437
2935,1,1,1953,Partially,83.41,3.47,2175,Excellent,17.62,1.67,71.0,Medium,12.1,7.48,675142.2549099043
1100,4,1,2017,Fully,56.83,3.17,2277,Average,22.18,2.02,170.0,Medium,3.56,8.38,415953.31842579955
2863,1,1,1956,None,66.58,4.71,5665,Excellent,47.43,1.12,71.0,Medium,14.12,4.96,599318.9782131511
2561,5,3,1995,Fully,74.21,2.33,8925,Excellent,21.78,8.39,175.0,Low,1.57,9.94,687051.7702515995
741,1,2,1958,Fully,83.39,5.49,1083,Good,1.17,8.2,118.0,Medium,10.12,8.59,503683.58287811786
2541,2,3,1982,Partially,52.85,6.81,1966,Poor,46.96,1.6,59.0,Medium,0.26,2.94,1016068.8600629027
3324,4,3,1982,Fully,108.3,9.53,9194,Excellent,1.69,7.08,60.0,Medium,1.72,5.11,851985.1316340251
3112,1,2,1953,Partially,,7.01,7250,Average,33.45,6.31,54.0,Medium,7.11,3.66,662702.0965288933
1863,3,3,2014,None,66.01,6.99,1655,Average,16.82,2.83,61.0,Low,-4.27,5.95,472547.8402525583
1978,1,1,1983,Partially,58.94,5.0,8460,Good,24.05,2.35,93.0,Medium,-0.78,3.02,478865.9853686818
3056,4,1,2013,Partially,79.25,3.07,1435,Good,27.82,2.58,158.0,Medium,-1.47,1.32,581237.4191150512
1275,5,1,1974,Partially,82.08,5.58,855,Average,21.01,7.33,142.0,High,1.56,9.14,511426.2144681172
4514,5,1,2004,Fully,60.15,6.79,2494,Average,38.94,3.26,139.0,Low,10.55,5.68,766485.6262986689
534,4,2,1958,Partially,58.29,7.79,5656,Average,46.6,2.85,78.0,Medium,13.15,9.23,334258.4285315077
3652,2,3,1966,Partially,61.6,8.61,6781,Average,5.23,0.32,85.0,High,-4.75,2.06,701360.2388914397
2455,2,3,1970,None,75.97,4.05,7909,Good,40.21,9.09,84.0,Low,0.14,2.36,635735.3213312331
2085,5,1,2009,Fully,76.16,3.93,5864,Average,7.3,7.55,,Low,-4.49,3.04,1244383.087353832
4443,5,1,1962,Partially,107.46,6.52,4474,Excellent,4.93,4.78,57.0,High,12.22,5.11,989559.7764633896
3573,4,3,1952,None,42.53,6.53,3004,Good,47.84,9.43,65.0,High,-1.03,8.92,567598.469544509
1521,2,2,2017,None,64.92,3.74,2646,Average,24.98,3.01,92.0,Low,10.41,6.85,451874.5634852456
3961,5,3,1953,None,67.06,6.7,8169,Excellent,8.48,6.78,118.0,Medium,-4.33,1.5,801664.1972918697
3113,2,1,1956,Partially,82.3,4.77,7804,,28.93,3.12,193.0,Low,2.97,4.66,654267.8572568146
4343,5,1,1975,Partially,82.9,7.11,1710,Excellent,13.9,3.21,105.0,High,2.17,7.51,787927.2480026474
2000,1,2,1973,None,72.01,4.33,6679,Good,23.75,8.46,,Medium,1.59,3.9,580215.1934784236
661,3,3,1959,Fully,97.66,6.74,9321,Average,31.61,7.89,126.0,Medium,6.4,5.43,512103.7709368088
4797,1,2,1962,Fully,58.26,8.15,5382,Good,43.59,3.01,57.0,High,2.83,7.4,710921.3682132434
2481,5,2,1993,None,64.56,9.84,7324,Average,1.15,0.91,103.0,Low,3.06,9.68,694528.4988889021
1495,3,1,1988,Partially,55.27,9.29,6698,Excellent,11.49,3.64,139.0,Medium,-1.22,4.0,349137.5330040787
3842,3,3,1968,None,72.8,6.03,1607,Excellent,5.72,7.62,169.0,Medium,3.29,7.7,778281.4129932256
4298,5,1,2000,None,70.02,5.91,5486,Good,5.76,1.1,182.0,High,9.82,7.73,862895.5197489486
1775,5,3,1968,None,86.79,5.5,3934,Good,47.34,6.75,58.0,Medium,1.46,5.88,581540.6270305341
1516,2,1,2001,Fully,102.8,2.22,8523,Good,46.87,8.91,120.0,Low,12.14,8.32,571162.3405234105
837,5,1,1996,Partially,97.36,3.33,3315,Average,37.72,1.87,,Low,-1.68,5.83,487053.6989395674
1378,4,3,1979,None,56.66,2.47,7561,Good,32.51,8.64,130.0,Low,11.93,6.62,403699.4871495089
1576,5,3,1995,None,75.8,7.57,2535,Good,42.55,0.61,157.0,High,7.32,8.53,474738.1931769301
4493,4,1,1970,Partially,86.62,5.31,7307,Excellent,3.86,6.7,144.0,High,3.48,5.29,954104.4319524418
879,5,3,1997,Fully,85.03,2.51,7473,Excellent,6.85,7.93,114.0,Medium,-4.3,5.3,577475.883165909
992,2,1,2011,None,109.72,7.52,669,Excellent,16.54,4.5,79.0,Low,-2.47,6.32,501899.05621781165
